<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>
EURUSD;D;19/10/17;000000;1.1786800;1.1860000;1.1767000;1.1851000
EURUSD;D;20/10/17;000000;1.1852200;1.1858000;1.1761000;1.1783000
EURUSD;D;21/10/17;000000;1.1783000;1.1783000;1.1783000;1.1783000
EURUSD;D;22/10/17;000000;1.1771000;1.1778000;1.1757000;1.1763100
EURUSD;D;23/10/17;000000;1.1763000;1.1780000;1.1724000;1.1749400
EURUSD;D;24/10/17;000000;1.1749300;1.1793000;1.1741000;1.1761700
EURUSD;D;25/10/17;000000;1.1760900;1.1817900;1.1751000;1.1812000
EURUSD;D;26/10/17;000000;1.1812100;1.1836900;1.1639000;1.1650000
EURUSD;D;27/10/17;000000;1.1648600;1.1657300;1.1572000;1.1608200
EURUSD;D;28/10/17;000000;1.1606000;1.1606000;1.1606000;1.1606000
EURUSD;D;29/10/17;000000;1.1600000;1.1615000;1.1598000;1.1605700
EURUSD;D;30/10/17;000000;1.1605600;1.1658000;1.1592000;1.1649000
EURUSD;D;31/10/17;000000;1.1650300;1.1661500;1.1623000;1.1645800
EURUSD;D;01/11/17;000000;1.1645400;1.1657400;1.1605000;1.1618100
EURUSD;D;02/11/17;000000;1.1617400;1.1687300;1.1612000;1.1657900
EURUSD;D;03/11/17;000000;1.1657900;1.1691500;1.1597000;1.1606000
EURUSD;D;04/11/17;000000;1.1606000;1.1606000;1.1605000;1.1605000
EURUSD;D;05/11/17;000000;1.1607000;1.1619000;1.1605600;1.1611000
EURUSD;D;06/11/17;000000;1.1615100;1.1624100;1.1579000;1.1609200
EURUSD;D;07/11/17;000000;1.1608400;1.1615500;1.1553000;1.1590200
EURUSD;D;08/11/17;000000;1.1590300;1.1611200;1.1578000;1.1598000
EURUSD;D;09/11/17;000000;1.1598300;1.1654900;1.1584000;1.1641900
EURUSD;D;10/11/17;000000;1.1642400;1.1680000;1.1621000;1.1665000
EURUSD;D;11/11/17;000000;1.1665000;1.1668800;1.1660500;1.1663000
